san11pk_dump.exe.idb,0x40b0b8,jpt_40AEA2
san11pk_dump.exe.idb,0x40b0d0,jpt_40AFCD
san11pk_dump.exe.idb,0x40d93d,def_40D90E
san11pk_dump.exe.idb,0x40d998,jpt_40D90E
san11pk_dump.exe.idb,0x40e5ac,def_40E54D
san11pk_dump.exe.idb,0x40e6c0,jpt_40E54D
san11pk_dump.exe.idb,0x412390,CheckPersonID
san11pk_dump.exe.idb,0x4123b0,CheckForceID
san11pk_dump.exe.idb,0x414820,aVhpP
san11pk_dump.exe.idb,0x418b90,??1locale@std@@QAE@XZ
san11pk_dump.exe.idb,0x418c60,??1?$basic_ostream@DU?$char_traits@D@@@@UAE@XZ
san11pk_dump.exe.idb,0x418e60,?do_widen@?$ctype@D@std@@MBEDD@Z
san11pk_dump.exe.idb,0x418ea0,?do_narrow@?$ctype@D@std@@MBEDDD@Z
san11pk_dump.exe.idb,0x4195e0,?uflow@?$basic_streambuf@DU?$char_traits@D@std@@@std@@MAEHXZ
san11pk_dump.exe.idb,0x419600,unknown_libname_2
san11pk_dump.exe.idb,0x419e30,?_Gndec@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IAEPADXZ
san11pk_dump.exe.idb,0x41ace0,??1_Locimp@locale@std@@UAE@XZ
san11pk_dump.exe.idb,0x41ba17,def_41B9AD
san11pk_dump.exe.idb,0x41ba1c,jpt_41B9AD
san11pk_dump.exe.idb,0x41bc3d,def_41BBC7
san11pk_dump.exe.idb,0x41bc78,jpt_41BBC7
san11pk_dump.exe.idb,0x41be3b,def_41BD68
san11pk_dump.exe.idb,0x41be44,jpt_41BD68
san11pk_dump.exe.idb,0x41bf4d,def_41BF34
san11pk_dump.exe.idb,0x41bf54,jpt_41BF34
san11pk_dump.exe.idb,0x41c130,GetPersonIDWithSkillForCity
san11pk_dump.exe.idb,0x41cd74,jpt_41CCC8
san11pk_dump.exe.idb,0x423480,nullsub_8
san11pk_dump.exe.idb,0x42ee99,__cfltcvt_init
san11pk_dump.exe.idb,0x42f250,??0DNameNode@@IAE@XZ
san11pk_dump.exe.idb,0x431d70,?IsBlocked@LockQueueNode@details@Concurrency@@AAE_NXZ
san11pk_dump.exe.idb,0x432709,def_43269B
san11pk_dump.exe.idb,0x432714,jpt_43269B
san11pk_dump.exe.idb,0x435650,?MarkInactive@ExternalStatistics@details@Concurrency@@QAEXXZ
san11pk_dump.exe.idb,0x436340,??1stdiobuf@@UAE@XZ
san11pk_dump.exe.idb,0x4364c0,??1stdiobuf@@UAE@XZ_0
san11pk_dump.exe.idb,0x436520,?SetFormatEtc@CAsyncMonikerFile@@IAEXPAUtagFORMATETC@@@Z
san11pk_dump.exe.idb,0x4365c0,??1stdiobuf@@UAE@XZ_1
san11pk_dump.exe.idb,0x4366c0,??1stdiobuf@@UAE@XZ_2
san11pk_dump.exe.idb,0x436750,??1stdiobuf@@UAE@XZ_3
san11pk_dump.exe.idb,0x4367c0,??1stdiobuf@@UAE@XZ_4
san11pk_dump.exe.idb,0x436990,??1stdiobuf@@UAE@XZ_5
san11pk_dump.exe.idb,0x436e60,??_Gstdiobuf@@UAEPAXI@Z
san11pk_dump.exe.idb,0x438265,def_4381B6
san11pk_dump.exe.idb,0x438270,jpt_4381B6
san11pk_dump.exe.idb,0x4397b0,??A?$CSimpleStringT@D$0A@@ATL@@QBEDH@Z
san11pk_dump.exe.idb,0x439db0,DynamicAllocateMem
san11pk_dump.exe.idb,0x439df0,FreeDynamicPersonListNodePool
san11pk_dump.exe.idb,0x43a8c0,def_43A8B4
san11pk_dump.exe.idb,0x43a8c4,jpt_43A8B4
san11pk_dump.exe.idb,0x43a910,def_43A904
san11pk_dump.exe.idb,0x43a914,jpt_43A904
san11pk_dump.exe.idb,0x43b9f8,def_43B999
san11pk_dump.exe.idb,0x43ba28,jpt_43B999
san11pk_dump.exe.idb,0x43bf6e,def_43BF5B
san11pk_dump.exe.idb,0x43bf7c,jpt_43BF5B
san11pk_dump.exe.idb,0x43bfde,def_43BFCB
san11pk_dump.exe.idb,0x43bfec,jpt_43BFCB
san11pk_dump.exe.idb,0x43ca10,?GetTransferListEvent@UMSSchedulerProxy@details@Concurrency@@QBEPAXXZ
san11pk_dump.exe.idb,0x43f160,j_FreeDynamicNodePool
san11pk_dump.exe.idb,0x4427c3,def_44273A
san11pk_dump.exe.idb,0x4427c8,jpt_44273A
san11pk_dump.exe.idb,0x442a9c,def_4428ED
san11pk_dump.exe.idb,0x442aa4,jpt_4428ED
san11pk_dump.exe.idb,0x442bd9,def_442AE4
san11pk_dump.exe.idb,0x442bdc,jpt_442AE4
san11pk_dump.exe.idb,0x4437a0,allocateMem
san11pk_dump.exe.idb,0x4438d0,dynamicAllocateMem
san11pk_dump.exe.idb,0x443930,AllocateMem
san11pk_dump.exe.idb,0x443950,freeDynamicPersonListNodePool
san11pk_dump.exe.idb,0x443b92,def_443B4E
san11pk_dump.exe.idb,0x443c8d,def_443BF3
san11pk_dump.exe.idb,0x443d12,def_443CDC
san11pk_dump.exe.idb,0x443d34,jpt_443B4E
san11pk_dump.exe.idb,0x443d54,jpt_443BF3
san11pk_dump.exe.idb,0x443d78,jpt_443CDC
san11pk_dump.exe.idb,0x444017,def_443F65
san11pk_dump.exe.idb,0x44401c,jpt_443F65
san11pk_dump.exe.idb,0x4442e6,__RTC_NumErrors
san11pk_dump.exe.idb,0x4442fe,def_4442DF
san11pk_dump.exe.idb,0x444304,jpt_4442DF
san11pk_dump.exe.idb,0x44a460,?SetOccDialogInfo@CDialog@@MAEHPAU_AFX_OCC_DIALOG_INFO@@@Z
san11pk_dump.exe.idb,0x44b994,def_44B755
san11pk_dump.exe.idb,0x44b9a0,jpt_44B755
san11pk_dump.exe.idb,0x44bfff,def_44BE6A
san11pk_dump.exe.idb,0x44c000,jpt_44BE6A
san11pk_dump.exe.idb,0x44cd3a,def_44CBC8
san11pk_dump.exe.idb,0x44cd54,jpt_44CBC8
san11pk_dump.exe.idb,0x44ced8,def_44CE9C
san11pk_dump.exe.idb,0x44cedb,__RTC_NumErrors_0
san11pk_dump.exe.idb,0x44cef8,jpt_44CE9C
san11pk_dump.exe.idb,0x44df10,def_44DEFA
san11pk_dump.exe.idb,0x44e228,jpt_44DEFA
san11pk_dump.exe.idb,0x44e3ef,def_44E43B
san11pk_dump.exe.idb,0x44e448,jpt_44E43B
san11pk_dump.exe.idb,0x4533f4,def_4533ED
san11pk_dump.exe.idb,0x453494,jpt_4533ED
san11pk_dump.exe.idb,0x453524,def_45351D
san11pk_dump.exe.idb,0x4535d4,jpt_45351D
san11pk_dump.exe.idb,0x454df0,def_454D77
san11pk_dump.exe.idb,0x454df8,jpt_454D77
san11pk_dump.exe.idb,0x454f96,def_454F43
san11pk_dump.exe.idb,0x454f98,jpt_454F43
san11pk_dump.exe.idb,0x4580b8,def_457FEE
san11pk_dump.exe.idb,0x4580c0,jpt_457FEE
san11pk_dump.exe.idb,0x459c64,def_459BA5
san11pk_dump.exe.idb,0x459c68,jpt_459BA5
san11pk_dump.exe.idb,0x459e1a,def_459DC0
san11pk_dump.exe.idb,0x459e20,jpt_459DC0
san11pk_dump.exe.idb,0x45b880,?pbase@?$basic_streambuf@DU?$char_traits@D@std@@@std@@IBEPADXZ
san11pk_dump.exe.idb,0x45b9c0,def_45B950
san11pk_dump.exe.idb,0x45b9c4,jpt_45B950
san11pk_dump.exe.idb,0x45c220,def_45C1B0
san11pk_dump.exe.idb,0x45c224,jpt_45C1B0
san11pk_dump.exe.idb,0x45c340,def_45C2D0
san11pk_dump.exe.idb,0x45c344,jpt_45C2D0
san11pk_dump.exe.idb,0x45c66f,def_45C538
san11pk_dump.exe.idb,0x45c678,jpt_45C538
san11pk_dump.exe.idb,0x45c688,jpt_45C608
san11pk_dump.exe.idb,0x45d1d9,def_45D046
san11pk_dump.exe.idb,0x45d224,jpt_45D046
san11pk_dump.exe.idb,0x46572f,def_465592
san11pk_dump.exe.idb,0x465734,jpt_465592
san11pk_dump.exe.idb,0x465e14,def_465D90
san11pk_dump.exe.idb,0x465e18,jpt_465D90
san11pk_dump.exe.idb,0x46cff7,def_46CE98
san11pk_dump.exe.idb,0x46d000,jpt_46CE98
san11pk_dump.exe.idb,0x46d014,jpt_46CF7A
san11pk_dump.exe.idb,0x46d520,??1ios_base@std@@UAE@XZ
san11pk_dump.exe.idb,0x46ec9a,def_46EBD7
san11pk_dump.exe.idb,0x46eca0,jpt_46EBD7
san11pk_dump.exe.idb,0x46ed20,jpt_46EC17
san11pk_dump.exe.idb,0x46edc0,?SpinYield@ExternalContextBase@details@Concurrency@@UAEXXZ
san11pk_dump.exe.idb,0x46f080,GetSystemTime
san11pk_dump.exe.idb,0x46f497,unknown_libname_3
san11pk_dump.exe.idb,0x46fb96,def_46FAD2
san11pk_dump.exe.idb,0x46fbc8,jpt_46FAD2
san11pk_dump.exe.idb,0x470377,def_47030F
san11pk_dump.exe.idb,0x4704b0,jpt_47030F
san11pk_dump.exe.idb,0x471310,??1ios_base@std@@UAE@XZ_0
san11pk_dump.exe.idb,0x472070,CheckMemReadAndWrite
san11pk_dump.exe.idb,0x472150,GetRandomX
san11pk_dump.exe.idb,0x4721d0,GetRandom100
san11pk_dump.exe.idb,0x472480,j___mbscoll
san11pk_dump.exe.idb,0x472520,SetBitAtAddress
san11pk_dump.exe.idb,0x472590,CheckBitAtAddress
san11pk_dump.exe.idb,0x472ca0,??0DNameNode@@IAE@XZ_0
san11pk_dump.exe.idb,0x472e10,AllocateMemByBitmap
san11pk_dump.exe.idb,0x472e80,createPersonListNodePool
san11pk_dump.exe.idb,0x472ee0,freePersonListNodePool
san11pk_dump.exe.idb,0x4730d0,unknown_libname_61
san11pk_dump.exe.idb,0x473150,?Connect@CAsyncSocket@@QAEHPBUsockaddr@@H@Z
san11pk_dump.exe.idb,0x4735f0,??1ios_base@std@@UAE@XZ_1
san11pk_dump.exe.idb,0x474ed6,def_474EB8
san11pk_dump.exe.idb,0x475068,def_474F1C
san11pk_dump.exe.idb,0x4751bc,jpt_474EB8
san11pk_dump.exe.idb,0x4751f4,jpt_474F1C
san11pk_dump.exe.idb,0x4766f0,unknown_libname_62
san11pk_dump.exe.idb,0x47726f,def_47740B
san11pk_dump.exe.idb,0x47752c,jpt_47740B
san11pk_dump.exe.idb,0x479290,unknown_libname_4
san11pk_dump.exe.idb,0x47a220,__RTC_NumErrors_1
san11pk_dump.exe.idb,0x47a300,?SetModifiedFlag@CDocument@@UAEXH@Z
san11pk_dump.exe.idb,0x47a320,AreStatesAdjacent
san11pk_dump.exe.idb,0x47a600,IsPtrValid
san11pk_dump.exe.idb,0x47a630,IsPtrValid_47a630
san11pk_dump.exe.idb,0x47a660,IsPtrValid_47a660
san11pk_dump.exe.idb,0x47a690,IsOwnedByPlayer
san11pk_dump.exe.idb,0x47a6d0,IsPtrFirstArmy
san11pk_dump.exe.idb,0x47a7d0,GetMaxDurabilityOfSP
san11pk_dump.exe.idb,0x47a850,HasTechnologyForFacility
san11pk_dump.exe.idb,0x47a8a0,HasSkill
san11pk_dump.exe.idb,0x47b080,ValidateCityID
san11pk_dump.exe.idb,0x47b100,GetCityIDFromPtr
san11pk_dump.exe.idb,0x47b150,ReturnOne
san11pk_dump.exe.idb,0x47b180,GetCityInfo
san11pk_dump.exe.idb,0x47b2b0,GetForceID
san11pk_dump.exe.idb,0x47b330,GetCityTroopLimit
san11pk_dump.exe.idb,0x47b350,GetCityEquipment
san11pk_dump.exe.idb,0x47b370,GetCityEquipmentLimit
san11pk_dump.exe.idb,0x47b3a0,IsCitySpecialty
san11pk_dump.exe.idb,0x47b3c0,IsCityInSpecificState
san11pk_dump.exe.idb,0x47b3f0,IsCityInScheduledState
san11pk_dump.exe.idb,0x47b440,GetCityTrainingState
san11pk_dump.exe.idb,0x47b460,GetCityIDAndValidate
san11pk_dump.exe.idb,0x47b480,GetDaysBetweenCities
san11pk_dump.exe.idb,0x47b5b0,GetCityRulerID
san11pk_dump.exe.idb,0x47b6f0,SetCityMerchantStatus
san11pk_dump.exe.idb,0x47b710,SetCityTrainingStatus
san11pk_dump.exe.idb,0x47b820,AdjustCityBarracksCount
san11pk_dump.exe.idb,0x47bc30,GetNthAdjacentCityID
san11pk_dump.exe.idb,0x47bc50,GetNthHarborIDOfCity
san11pk_dump.exe.idb,0x47bcb0,SetCityTroops
san11pk_dump.exe.idb,0x47bcf0,SetCityGold
san11pk_dump.exe.idb,0x47bd20,SetCityFood
san11pk_dump.exe.idb,0x47bd50,SetCityTradePrice
san11pk_dump.exe.idb,0x47bd70,SetCityPublicOrder
san11pk_dump.exe.idb,0x47bda0,SetCityEquipmentType
san11pk_dump.exe.idb,0x47be50,ResetPersonList
san11pk_dump.exe.idb,0x47bed0,NextNodeInPersonList
san11pk_dump.exe.idb,0x47bf60,insertPersonListNode
san11pk_dump.exe.idb,0x47c090,CreatePersonListNodePool
san11pk_dump.exe.idb,0x47c0b0,FreePersonListNodePool
san11pk_dump.exe.idb,0x47c0e0,InsertPersonListNode
san11pk_dump.exe.idb,0x47c100,ClearPersonList
san11pk_dump.exe.idb,0x47c1b0,InsertPersonList
san11pk_dump.exe.idb,0x47c280,j_ClearPersonArray
san11pk_dump.exe.idb,0x47c310,GetCityPrefectID
san11pk_dump.exe.idb,0x47c320,GetCorpsIDForCity
san11pk_dump.exe.idb,0x47c330,GetMaxDurabilityForCity
san11pk_dump.exe.idb,0x47c4c0,GetFacilityPtrByCity
san11pk_dump.exe.idb,0x47cb00,GetCityDurability
san11pk_dump.exe.idb,0x47cb80,GetCoordinatesForCity
san11pk_dump.exe.idb,0x47cc50,SetCityMorale
san11pk_dump.exe.idb,0x47d689,__cfltcvt_init_0
san11pk_dump.exe.idb,0x47d6c5,__cfltcvt_init_1
san11pk_dump.exe.idb,0x47d701,__cfltcvt_init_2
san11pk_dump.exe.idb,0x47e030,ValidateFacilityID
san11pk_dump.exe.idb,0x47e070,HasTechnologyForCity
san11pk_dump.exe.idb,0x47e370,GetCoordinatesForCorp
san11pk_dump.exe.idb,0x47e3a0,GetCorpIDFromCorpPtr
san11pk_dump.exe.idb,0x47e3e0,SetCorpsActionPoints
san11pk_dump.exe.idb,0x47e410,??1strstreambuf@std@@UAE@XZ
san11pk_dump.exe.idb,0x47e974,jpt_47E725
san11pk_dump.exe.idb,0x47e98c,jpt_47E827
san11pk_dump.exe.idb,0x47ec80,GetMilitaryBranchType
san11pk_dump.exe.idb,0x47f110,GetForceIDFromPtr
san11pk_dump.exe.idb,0x47f1c8,def_47F1BA
san11pk_dump.exe.idb,0x47f1cc,jpt_47F1BA
san11pk_dump.exe.idb,0x480730,?SetModifiedFlag@CDocument@@UAEXH@Z_0
san11pk_dump.exe.idb,0x4807f0,??0CRectTracker@@QAE@XZ
san11pk_dump.exe.idb,0x480fa0,GetForceID_48
san11pk_dump.exe.idb,0x480fc0,GetForceID_480fc0
san11pk_dump.exe.idb,0x480ff0,CheckForceValid
san11pk_dump.exe.idb,0x4811b0,CheckForceAlliance
san11pk_dump.exe.idb,0x4811e0,CheckTechnology
san11pk_dump.exe.idb,0x4812c0,GetCeasefireTimeRemaining
san11pk_dump.exe.idb,0x4812f0,GetCityPatrolStatus
san11pk_dump.exe.idb,0x481310,GetCityMerchantStatus
san11pk_dump.exe.idb,0x481350,ValidateForceID
san11pk_dump.exe.idb,0x4813a0,GetHiddenResearchAbility
san11pk_dump.exe.idb,0x4814e0,GetForceFriendliness
san11pk_dump.exe.idb,0x481500,IsForceHostile
san11pk_dump.exe.idb,0x4815e0,SetTechnologyTurns
san11pk_dump.exe.idb,0x4815f0,SetCityPatrolStatus
san11pk_dump.exe.idb,0x481640,GetCoordinatesForForce
san11pk_dump.exe.idb,0x4816c0,SetAbilityResearchTurns
san11pk_dump.exe.idb,0x4817d0,GetFirstCorpIDOfForce
san11pk_dump.exe.idb,0x481a80,SetForceSkillPoints
san11pk_dump.exe.idb,0x481ac0,SetForceFriendliness
san11pk_dump.exe.idb,0x48243c,jpt_4821C7
san11pk_dump.exe.idb,0x4824b0,GetCurrentYear
san11pk_dump.exe.idb,0x4824f0,GetCurrentMonth
san11pk_dump.exe.idb,0x482530,GetCurrentDay
san11pk_dump.exe.idb,0x482570,GetYearsPassed
san11pk_dump.exe.idb,0x482580,GetMonthsPassed
san11pk_dump.exe.idb,0x482590,GetDaysPassed
san11pk_dump.exe.idb,0x482680,IsMonthStart
san11pk_dump.exe.idb,0x4828d0,unknown_libname_63
san11pk_dump.exe.idb,0x4828e0,?ResetVersion@COleControl@@QAEXK@Z
san11pk_dump.exe.idb,0x4829d0,IsQuarterStart
san11pk_dump.exe.idb,0x483500,GetHarborEquipment
san11pk_dump.exe.idb,0x483560,GetCoordinatesForPass
san11pk_dump.exe.idb,0x483600,SetHarborTroops
san11pk_dump.exe.idb,0x483660,SetHarborMoney
san11pk_dump.exe.idb,0x4836c0,SetFortressVigor
san11pk_dump.exe.idb,0x4837b0,??1strstreambuf@std@@UAE@XZ_0
san11pk_dump.exe.idb,0x483810,GetCorpIDForHarborOrPass
san11pk_dump.exe.idb,0x4839de,nullsub_11
san11pk_dump.exe.idb,0x4839f0,getCityID
san11pk_dump.exe.idb,0x483a50,GetAdjacentCoordinateInDirection
san11pk_dump.exe.idb,0x483b00,GetFacilityIDFromMapGridData
san11pk_dump.exe.idb,0x483b20,GetFacilityPtrFromCoordinate
san11pk_dump.exe.idb,0x483b40,GetTroopPtrFromBlockPtr
san11pk_dump.exe.idb,0x483c80,GetAllAccessibleCoordinatesInRange
san11pk_dump.exe.idb,0x483db0,AreCoordinatesAdjacent
san11pk_dump.exe.idb,0x4843a0,GetEntitiesWithinRadius
san11pk_dump.exe.idb,0x484de0,SetOwnerAndCityForTreasure
san11pk_dump.exe.idb,0x484e20,SetTreasureState
san11pk_dump.exe.idb,0x485160,GetPrefectIDForHarborOrPass
san11pk_dump.exe.idb,0x486320,IsFacilityOnFire
san11pk_dump.exe.idb,0x4863c0,GetFacilityIDFromPtr
san11pk_dump.exe.idb,0x486400,CheckFaciltyTypeID
san11pk_dump.exe.idb,0x486490,GetSPInfo
san11pk_dump.exe.idb,0x486660,IsFacilityOfType
san11pk_dump.exe.idb,0x486680,GetFacilityIDFromSPPtr
san11pk_dump.exe.idb,0x4866f0,GetCityPtrFromFacilityPtr
san11pk_dump.exe.idb,0x486720,GetPassPtrFromFacilityPtr
san11pk_dump.exe.idb,0x486760,GetHarborPtrFromFacilityPtr
san11pk_dump.exe.idb,0x4867d0,GetCorpIDForFacility
san11pk_dump.exe.idb,0x486890,GetSPPrefectID
san11pk_dump.exe.idb,0x486950,GetSPEquipment
san11pk_dump.exe.idb,0x486a30,GetSPEquipmentLimit
san11pk_dump.exe.idb,0x486b10,GetSPTroopStrength
san11pk_dump.exe.idb,0x486bc0,GetSPTroopStrengthLimit
san11pk_dump.exe.idb,0x486c80,GetSPMoney
san11pk_dump.exe.idb,0x486d30,GetSPMoneyLimit
san11pk_dump.exe.idb,0x486df0,GetSPFood
san11pk_dump.exe.idb,0x486ea0,GetSPFoodLimit
san11pk_dump.exe.idb,0x486f60,GetSPMorale
san11pk_dump.exe.idb,0x487010,GetSPMoraleLimit
san11pk_dump.exe.idb,0x487150,GetFacilityMaxDurability
san11pk_dump.exe.idb,0x487230,SetSPTroopStrength
san11pk_dump.exe.idb,0x487310,SetSPMoney
san11pk_dump.exe.idb,0x4873f0,SetSPFood
san11pk_dump.exe.idb,0x4874d0,SetSPEquipment
san11pk_dump.exe.idb,0x4875c0,SetSPMorale
san11pk_dump.exe.idb,0x487920,GetFacilityCityID
san11pk_dump.exe.idb,0x4879c0,GetFacilityTypeCategory
san11pk_dump.exe.idb,0x487b30,FacilityTypeJudgementFunction
san11pk_dump.exe.idb,0x487bc0,GetSPPersonList
san11pk_dump.exe.idb,0x487ca0,SetFacilityConstructionStatus
san11pk_dump.exe.idb,0x487d10,?SetControl@CDataPathProperty@@QAEXPAVCOleControl@@@Z
san11pk_dump.exe.idb,0x487dc0,GetCoordinatesForFacility
san11pk_dump.exe.idb,0x487e10,VerifySPFacilityPtr
san11pk_dump.exe.idb,0x487e20,SetFacilityDurability
san11pk_dump.exe.idb,0x487eb0,GetForceIDForFacility
san11pk_dump.exe.idb,0x488010,IncreaseSPMorale
san11pk_dump.exe.idb,0x4880e0,GetPersonIDWithSkillForFacility
san11pk_dump.exe.idb,0x4882b0,VerifyCityIDRange
san11pk_dump.exe.idb,0x488350,VerifySPFacilityIDRange
san11pk_dump.exe.idb,0x4883b0,GetCorpIDForPerson
san11pk_dump.exe.idb,0x4883c0,GetPersonIDFromPtr
san11pk_dump.exe.idb,0x488790,IsSpouseOf
san11pk_dump.exe.idb,0x4887d0,IsSwornBrotherOf
san11pk_dump.exe.idb,0x488890,GetFriendlyPersonID
san11pk_dump.exe.idb,0x4888b0,GetNumberOfFriendlyPersons
san11pk_dump.exe.idb,0x488910,IsFriendlyWith
san11pk_dump.exe.idb,0x488950,GetDislikePersonID
san11pk_dump.exe.idb,0x488970,GetNumberOfDislikePersons
san11pk_dump.exe.idb,0x4889e0,IsDislikeWith
san11pk_dump.exe.idb,0x488a20,GetPersonAge
san11pk_dump.exe.idb,0x488b30,checkPersonIdentityFlags
san11pk_dump.exe.idb,0x488b97,def_488B3A
san11pk_dump.exe.idb,0x488b9c,jpt_488B3A
san11pk_dump.exe.idb,0x488c00,IsMonarch
san11pk_dump.exe.idb,0x488c10,IsGovernor
san11pk_dump.exe.idb,0x488c20,IsPrefect
san11pk_dump.exe.idb,0x488c30,IsNormalPerson
san11pk_dump.exe.idb,0x488c40,IsInWilderness
san11pk_dump.exe.idb,0x488c50,IsNotIntroduced
san11pk_dump.exe.idb,0x488c60,IsNotDiscovered
san11pk_dump.exe.idb,0x488c70,IsPrisoner
san11pk_dump.exe.idb,0x488c80,IsDead
san11pk_dump.exe.idb,0x488c90,IsMonarchGovernorOrPrefect
san11pk_dump.exe.idb,0x488cb0,IsMonarchOrGovernor
san11pk_dump.exe.idb,0x488cd0,IsGovernorPrefectOrNormalPerson
san11pk_dump.exe.idb,0x488cf0,IsAdvisorOfForce
san11pk_dump.exe.idb,0x488d40,GetPersonDisposition
san11pk_dump.exe.idb,0x488d60,GetPersonDispositionExperience
san11pk_dump.exe.idb,0x488d80,GetPersonBaseAttr
san11pk_dump.exe.idb,0x488da0,GetPersonBaseAttr_Leadership
san11pk_dump.exe.idb,0x488db0,GetPersonBaseAttr_Strength
san11pk_dump.exe.idb,0x488dc0,GetPersonBaseAttr_Intelligence
san11pk_dump.exe.idb,0x488dd0,GetPersonBaseAttr_Politics
san11pk_dump.exe.idb,0x488de0,GetPersonBaseAttr_Charm
san11pk_dump.exe.idb,0x488fdf,_DllMain@12_0
san11pk_dump.exe.idb,0x489011,def_488FD2
san11pk_dump.exe.idb,0x489018,jpt_488FD2
san11pk_dump.exe.idb,0x489030,GetPersonAffectedDisplayAttr
san11pk_dump.exe.idb,0x489050,GetPersonUnaffectedDisplayAttr
san11pk_dump.exe.idb,0x489070,GetPersonAffectedDisplayLeadership
san11pk_dump.exe.idb,0x489080,GetPersonAffectedDisplayStrength
san11pk_dump.exe.idb,0x489090,GetPersonAffectedDisplayIntelligence
san11pk_dump.exe.idb,0x4890a0,GetPersonAffectedDisplayPolitics
san11pk_dump.exe.idb,0x4890b0,GetPersonAffectedDisplayCharm
san11pk_dump.exe.idb,0x4890c0,GetPersonAttrIncreaseRelativeToBase
san11pk_dump.exe.idb,0x4890f0,HasSpecialty
san11pk_dump.exe.idb,0x489120,HasActed
san11pk_dump.exe.idb,0x489160,IsMarkedForDeath
san11pk_dump.exe.idb,0x489180,GetPersonAttrExperience
san11pk_dump.exe.idb,0x4891a0,GetPersonAttrChangeType
san11pk_dump.exe.idb,0x4891c0,IsInArmy
san11pk_dump.exe.idb,0x489220,GetPersonArmyID
san11pk_dump.exe.idb,0x489270,IsGarrisonCountZero
san11pk_dump.exe.idb,0x489280,IsArmyLeader
san11pk_dump.exe.idb,0x489610,GetCoordinatesForPerson
san11pk_dump.exe.idb,0x4897b0,GetPersonNthMissionParameter
san11pk_dump.exe.idb,0x4898f0,SetPersonIdentity
san11pk_dump.exe.idb,0x4899d0,SetPersonSpecialty
san11pk_dump.exe.idb,0x489b40,SetPersonActionStatus
san11pk_dump.exe.idb,0x489c30,IsSpecialForce
san11pk_dump.exe.idb,0x489c50,IsForceNumberLessThan46
san11pk_dump.exe.idb,0x489ce0,IsEventPerson
san11pk_dump.exe.idb,0x489d10,IsThiefOrOutsider
san11pk_dump.exe.idb,0x489d40,GetPersonLordID
san11pk_dump.exe.idb,0x489dc0,IsPersonIDBetween703And710
san11pk_dump.exe.idb,0x489f80,GetCompatibilityDifference
san11pk_dump.exe.idb,0x489fe0,CheckPersonIdentityFlags
san11pk_dump.exe.idb,0x48a110,GetPersonAttr
san11pk_dump.exe.idb,0x48a2d0,UpdateTroopParameters
san11pk_dump.exe.idb,0x48a770,SetLoyalty
san11pk_dump.exe.idb,0x48a7a0,SetMerit
san11pk_dump.exe.idb,0x48a7d0,SetAttr
san11pk_dump.exe.idb,0x48a810,SetAttrExperience
san11pk_dump.exe.idb,0x48a880,SetVitality
san11pk_dump.exe.idb,0x48a8b0,SetGarrisonCount
san11pk_dump.exe.idb,0x48a940,setCaptiveMonths
san11pk_dump.exe.idb,0x48bc10,IsAConsort
san11pk_dump.exe.idb,0x48bd80,IsAParent
san11pk_dump.exe.idb,0x48bdf0,IsAChildOrParent
san11pk_dump.exe.idb,0x48d780,GetHarborIDFromPtr
san11pk_dump.exe.idb,0x48d7e0,GetHarborTroopLimit
